date,star,asset,buy,sell
2020-01-01,Sol,Equipment,7.21,7.03
2020-01-01,Sol,Medicine,44.92,44.12
2020-01-01,Sol,Metals,3.44,3.37
2020-01-01,Sol,Software,21.26,20.77
2020-01-01,Sol,StarGems,1116.52,1091.94
2020-01-01,Sol,Uranium,523.92,512.39
2020-01-01,Boyd,Equipment,6.81,6.63
2020-01-01,Boyd,Medicine,40.88,40.29
2020-01-01,Boyd,Metals,3.24,3.12
2020-01-01,Boyd,Software,19.11,18.83
2020-01-01,Boyd,StarGems,1030.5,1012.44
2020-01-01,Boyd,Uranium,509.23,491.32
2020-01-01,Fate,Equipment,7.4,7.23
2020-01-01,Fate,Medicine,37.71,37.03
2020-01-01,Fate,Metals,3.03,2.96
2020-01-01,Fate,Software,20.0,19.45
2020-01-01,Fate,StarGems,973.4,943.08
2020-01-01,Fate,Uranium,552.39,534.25
2020-01-01,Gaol,Equipment,7.0,6.76
2020-01-01,Gaol,Medicine,42.23,40.65
2020-01-01,Gaol,Metals,2.91,2.87
2020-01-01,Gaol,Software,22.37,21.71
2020-01-01,Gaol,StarGems,1105.35,1063.76
2020-01-01,Gaol,Uranium,517.96,503.6
2020-01-01,Hook,Equipment,6.15,5.93
2020-01-01,Hook,Medicine,41.96,40.52
2020-01-01,Hook,Metals,3.17,3.08
2020-01-01,Hook,Software,21.57,20.78
2020-01-01,Hook,StarGems,987.04,964.53
2020-01-01,Hook,Uranium,578.83,565.37
2020-01-01,Ivan,Equipment,6.68,6.53
2020-01-01,Ivan,Medicine,40.08,38.74
2020-01-01,Ivan,Metals,3.13,3.05
2020-01-01,Ivan,Software,21.12,20.71
2020-01-01,Ivan,StarGems,1149.23,1120.31
2020-01-01,Ivan,Uranium,527.78,515.48
2020-01-01,Kirk,Equipment,7.02,6.78
2020-01-01,Kirk,Medicine,40.56,39.96
2020-01-01,Kirk,Metals,2.93,2.86
2020-01-01,Kirk,Software,19.28,18.95
2020-01-01,Kirk,StarGems,1050.29,1028.38
2020-01-01,Kirk,Uranium,512.84,499.36
2020-01-01,Kris,Equipment,7.78,7.61
2020-01-01,Kris,Medicine,37.81,37.0
2020-01-01,Kris,Metals,3.36,3.24
2020-01-01,Kris,Software,20.12,19.63
2020-01-01,Kris,StarGems,1080.19,1056.22
2020-01-01,Kris,Uranium,512.02,495.18
2020-01-01,Quin,Equipment,6.82,6.72
2020-01-01,Quin,Medicine,40.95,40.15
2020-01-01,Quin,Metals,3.24,3.19
2020-01-01,Quin,Software,20.55,19.97
2020-01-01,Quin,StarGems,1016.81,997.69
2020-01-01,Quin,Uranium,482.31,469.75
2020-01-01,Reef,Equipment,6.57,6.45
2020-01-01,Reef,Medicine,39.98,39.41
2020-01-01,Reef,Metals,3.1,3.07
2020-01-01,Reef,Software,21.0,20.27
