date,player,asset,mark
2020-01-01,Alice,Equipment,7.1656
2020-01-01,Alice,Equipment,7.1596
2020-01-01,Alice,Equipment,7.1556
2020-01-01,Alice,Equipment,6.9554
2020-01-01,Alice,Medicine,38.5866
2020-01-01,Alice,Medicine,39.5865
2020-01-01,Alice,Medicine,39.5738
2020-01-01,Alice,Medicine,39.6191
2020-01-01,Alice,Medicine,39.5135
2020-01-01,Alice,Medicine,38.6246
2020-01-01,Alice,Medicine,38.4885
2020-01-01,Alice,Medicine,38.6198
2020-01-01,Alice,Metals,3.0726
2020-01-01,Alice,Metals,3.0717
2020-01-01,Alice,Metals,3.0725
2020-01-01,Alice,Metals,3.0694
2020-01-01,Alice,Metals,3.124
2020-01-01,Alice,Software,21.5499
2020-01-01,Alice,Software,21.514
2020-01-01,Alice,Software,21.0355
2020-01-01,Alice,Software,21.0147
2020-01-01,Alice,Software,21.5144
2020-01-01,Alice,Software,21.525
2020-01-01,Alice,Software,21.5363
2020-01-01,Alice,Software,21.0015
2020-01-01,Alice,StarGems,953.0305
2020-01-01,Alice,StarGems,952.7381
2020-01-01,Alice,StarGems,951.5331
2020-01-01,Alice,StarGems,953.3085
2020-01-01,Alice,StarGems,951.9733
2020-01-01,Alice,Uranium,549.4844
2020-01-01,Alice,Uranium,537.3306
2020-01-01,Alice,Uranium,537.8709
2020-01-01,Alice,Uranium,538.1044
2020-01-01,Bob,Equipment,7.3923
2020-01-01,Bob,Equipment,7.3916
2020-01-01,Bob,Equipment,7.3891
2020-01-01,Bob,Equipment,7.396
2020-01-01,Bob,Equipment,7.2235
2020-01-01,Bob,Medicine,37.7366
2020-01-01,Bob,Medicine,37.7066
2020-01-01,Bob,Medicine,37.7117
2020-01-01,Bob,Medicine,37.8024
2020-01-01,Bob,Metals,3.0339
2020-01-01,Bob,Metals,2.9635
2020-01-01,Bob,Metals,2.9612
2020-01-01,Bob,Metals,2.968
2020-01-01,Bob,Metals,2.9642
2020-01-01,Bob,Software,19.4284
2020-01-01,Bob,Software,19.4461
2020-01-01,Bob,Software,19.9935
2020-01-01,Bob,Software,19.9848
2020-01-01,Bob,Software,19.9964
2020-01-01,Bob,Software,19.4438
2020-01-01,Bob,StarGems,973.2392
2020-01-01,Bob,StarGems,973.5077
2020-01-01,Bob,StarGems,944.0579
2020-01-01,Bob,StarGems,975.7294
2020-01-01,Bob,StarGems,944.1082
2020-01-01,Bob,Uranium,533.3682
2020-01-01,Bob,Uranium,552.0525
2020-01-01,Bob,Uranium,534.0905
2020-01-01,Bob,Uranium,535.5814
2020-01-01,Charlie,Equipment,6.5379
2020-01-01,Charlie,Equipment,6.5227
2020-01-01,Charlie,Equipment,6.5262
2020-01-01,Charlie,Equipment,6.5245
2020-01-01,Charlie,Equipment,6.5305
2020-01-01,Charlie,Medicine,40.0934
2020-01-01,Charlie,Medicine,38.7354
2020-01-01,Charlie,Medicine,38.734
2020-01-01,Charlie,Medicine,38.7115
2020-01-01,Charlie,Medicine,38.7476
2020-01-01,Charlie,Metals,3.0458
2020-01-01,Charlie,Metals,3.1356
2020-01-01,Charlie,Metals,3.0458
2020-01-01,Charlie,Metals,3.1354
2020-01-01,Charlie,Metals,3.139
2020-01-01,Charlie,Metals,3.1323
2020-01-01,Charlie,Metals,3.1356
2020-01-01,Charlie,Software,20.6612
2020-01-01,Charlie,Software,21.1033
2020-01-01,Charlie,Software,21.1237
2020-01-01,Charlie,StarGems,1150.6102
2020-01-01,Charlie,StarGems,1120.3067
2020-01-01,Charlie,StarGems,1120.5653
